"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.503490607289881";"1081";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"22.9999556130452";"23.0000710717003";"23.0000269236486"
"Cycl..Density";"-0.894565816578176";"1081";"3.4928298419464e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"284.802518500143";"497.010515090179";"413.718002946703"
"Halstead.Bugs";"0.999522272351649";"1081";"3.33959432590897e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.0304889095137402";"0.0319565273719399";"0.0309672374788617"
"Halstead.Difficulty";"0.850667728298496";"1081";"3.62995104024401e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"4.37647578486629";"5.6684515166588";"4.75545505838359"
"Halstead.Effort";"0.994904311068647";"1081";"3.62995104024401e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"3881.24045375838";"7039.92896941238";"4549.99301581649"
"Halstead.Length";"0.999891420035317";"1081";"2.17199984176256e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"11";"11.000057542242";"11.000097549013"
"Halstead.Time";"0.994904311068647";"1081";"3.62995104024401e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"215.624495843162";"391.106944466018";"252.777529434315"
"Halstead.Vocabulary";"0.995935725153809";"1081";"2.67281909289977e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"6.99995120780543";"8.0000326112485";"7.50002236373201"
"Halstead.Volume";"0.999507802773676";"1081";"3.62995104024401e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"90.7875146534982";"95.0369323282001";"92.7775801551299"
"Halstead.Identifiers.Distinct";"0.999615892872996";"959";"6.18792441076228e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.50002878630288";"2";"1.99993174118893"
"Halstead.Identifiers.Total";"0.99971762310141";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.00001793559466";"-2.99993650795048";"-3.00004946092016"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.768531651545803";"1081";"2.30000255431806e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.49998427582046";"6.00004195273963";"5.99994499574289"
"Halstead.Identifiers.Total.1";"0.990901103076762";"1081";"1.24673027376105e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"14";"14.0000969244695";"14"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.982251328206117";"543";"0.00331791623535564";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.999984657043062";"1.50003080867599";"1.00001032999576"
"LOC.Logical";"0.391197821776559";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-30.0000054102689";"-29.9999516109525";"-30.0000283326655"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
