"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.999389231378975";"10";"0.0975125381781096";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.99995243621722";"3.50000121471923";"2.99997680552472"
"Cycl..Density";"0.94691726307655";"2211";"1.59269917391043e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.26603990989757";"16.9204818542676";"9.52394940090975"
"Halstead.Bugs";"0.997165696998791";"0";"1.63357300463245e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0120344571190729";"-0.0104498924962334";"-0.0110137130072638"
"Halstead.Difficulty";"0.992414322482608";"208";"9.88544222133486e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.24149986715264";"-0.637984781052355";"-0.983922926975434"
"Halstead.Effort";"0.997325562829315";"63";"2.80264233522598e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-635.650554131253";"-252.801453150211";"-402.021981311866"
"Halstead.Length";"0.995967782229999";"0";"2.56159504694625e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-5.00006424181246";"-5";"-5"
"Halstead.Time";"0.997325562829315";"63";"2.80264233522598e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-35.3145036301067";"-14.0449377231558";"-22.3350538915778"
"Halstead.Vocabulary";"0.997383298836497";"0";"1.03097196341896e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.49995018456239";"-2.50005216791614";"-3.00006981154767"
"Halstead.Volume";"0.997355474218133";"0";"1.67649776892564e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-36.4885491797965";"-31.1840517600115";"-33.3004297321066"
"Halstead.Identifiers.Distinct";"0.998270830001599";"0";"2.30939061327864e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.50003381251265";"-1.00005501789399";"-1.49995566003043"
"Halstead.Identifiers.Total";"0.998191976795247";"0";"2.56159504694625e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.00008944070493";"-1";"-1"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.982313539311065";"26.5";"2.86565773847956e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.49990659521693";"-1.99999036577912";"-2.00007325119095"
"Halstead.Identifiers.Total.1";"0.99489241906294";"0";"3.92395832524951e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4";"-4";"-4"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.996179169181924";"0";"0.00092898354719731";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-9.00005495305126";"-1.99995128091644";"-3.00004043451026"
"LOC.Logical";"0.991680216443992";"0";"2.56024795270357e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.00009914799273";"-1";"-1"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
