"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.518934851127224";"1081";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.99999295361822";"6.00002479131473";"6.00004822794005"
"Cycl..Density";"0.656258466787756";"1081";"3.4928298419464e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"19.1295775956914";"22.0759162950405";"20.9510465886658"
"Halstead.Bugs";"0.99983352034757";"0";"3.38210346381323e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0180054434624306";"-0.0164681575903885";"-0.0170493675620778"
"Halstead.Difficulty";"0.871898433746069";"1081";"3.63091977756067e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.46605534717049";"1.63802863264972";"1.53298391428449"
"Halstead.Effort";"0.999283423956922";"906";"6.66077623299952e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"481.16355968652";"627.151935763583";"545.372500601621"
"Halstead.Length";"0.999717694171998";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-9.00003237321843";"-8.99993119105809";"-9.00004106526922"
"Halstead.Time";"0.999283423956922";"906";"6.66077623299952e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"26.7315513617021";"34.8419652817935";"30.2984984523411"
"Halstead.Vocabulary";"0.999985510711206";"0";"0.148914673178766";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"-1"
"Halstead.Volume";"0.999790093904893";"0";"3.60580720976379e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-54.5414539760155";"-49.3755099645797";"-51.2955494482082"
"Halstead.Identifiers.Distinct";"0.999833318839319";"0";"1.23500946988278e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"-2"
"Halstead.Identifiers.Total";"0.999688660679958";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-7.00004552949069";"-6.99993651752673";"-7.00000244866222"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.936832678489613";"1081";"4.50412771560637e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"2";"2"
"Halstead.Identifiers.Total.1";"0.999949168199832";"0";"1.24532589024865e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.00007488117453";"-2";"-2"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.942132248863448";"79";"4.33779345945062e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.00003961090263";"-1.49997886283764";"-1.9999376010314"
"LOC.Logical";"0.998853607999598";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-7.00004552949069";"-6.99993651752673";"-7.00000244866222"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
